sessionid,discipline,ease_2,regret_2,support_2,time_2,time_second_evaluation,treatment_eval_2,ease_1,regret_1,support_1,time_1,time_first_evaluation,treatment_eval_1,data_file_title_1,time_create_1,treatment_1,trial_1,when_to_1,with_who_1,academic,awareness,frequency,honest,howmany,materials_type,time_awareness_evaluation,tongue,trust,updating,ways,when_best,year_born,data_file_title_2,time_create_2,treatment_2,trial_2,when_to_2,with_who_2,man_hours
b4bd8ddfbcf302338f7898eec8382690,Genetics,5,5,5,5,,cite DataLabour,5,1,5,5,,cite DataLabour,,,cite DataLabour,,null,public,1,"[""3""]",4,on,between 2 and 4,Sequence data,,"[""I'm a native English speaker"",""""]",first,on,"[""1"",""2""]",6,1986,,,,,null,public,100
90c08c4bb24fd7715f6dce58d09061f4,Systems Biology,,,,,,,4,2,4,5,,cite DataLabour,,,cite DataLabour,,null,public,1,"[""1""]",5,null,only me,Bio systems Models ,,"[""I have been living in an English speaking country for at least 10 months"",""I've learnt English when I was a child ( > 12 years old)"",""I have an English proficiency above professional working level"",""""]",first,null,"[""4""]",3,1986,,,,,,,25
2916e59453604e0bf19d4b3b60b75fdd,Systems Biology,4,1,4,4,,Jam Share Data,4,1,4,4,,cite DataLabour,,,cite DataLabour,,null,public,1,"[""3""]",3,on,between 13 and 20,Mathematical models,,"[""I have been living in an English speaking country for at least 10 months"",""I've learnt English when I was a child ( > 12 years old)"",""""]",first,on,"[""1"",""2""]",5,1981,,,,,,public,120
f9f6ae29cb7fdbe8995e496792d87aac,Proteomics,,,,,,,4,4,3,5,,Jam Share Data,,,Jam Share Data,,02/2015,collaborators,,,,,between 2 and 4,MS/MS spectra,,"[""I've learnt English when I was a child ( > 12 years old)"",""I have an English proficiency above professional working level"",""""]",,,,,1990,,,,,,,15
28d0f45805f4a2e9ec4d8fe4cf2e517e,Chemistry,4,2,4,4,,Jam Share Data,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,2,"[""3""]",5,on,only me,Mass spectra files,,"[""I'm a native English speaker"",""""]",first,null,"[""1""]",5,1990,,,,,,public,10
0ad6197707803a31a98aa69dccc39bad,Systems Biology,5,3,3,5,,cite DataLabour,5,3,3,5,,cite DataLabour,,,cite DataLabour,,null,public,1,"[""1""]",3,on,between 5 and  12,flow cytometry files,,"[""I have lived in an English speaking country for more than 2 years"",""""]",first,on,"[""1"",""2""]",5,1986,,,,,null,public,10
3068cc431534949de153e1b77a9ae420,Molecular biology,4,3,4,4,,cite DataLabour,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,,,,,between 5 and  12,,,"[""I'm a native English speaker"",""""]",,,,,1990,,,,,1y,collaborators,10
d8695dead80bb8f3ba0caa25e5ca785c,Pharmacology,,,,,,,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,2,"[""3""]",4,on,between 2 and 4,Images,,,first,null,"[""1""]",5,1987,,,,,,,14
4379192aef2087ff9a349056bcbb6bb4,Evolution,4,3,3,4,,cite DataLabour,1,3,1,1,,cite DataLabour,,,cite DataLabour,,1y,collaborators,1,"[""3""]",4,null,between 2 and 4,Genomes; phenotypes,,"[""I'm a native English speaker"",""""]",second,null,"[""1"",""2""]",5,1981,,,,,1y,collaborators,20
8ed6774338c3fee17bbdca2dfbc7f1d6,Immunology,4,3,4,4,,Jam Share Data,4,3,4,4,,cite DataLabour,,,cite DataLabour,,1y,collaborators,2,"[""3""]",5,on,between 2 and 4,microscopy data,,"[""I'm a native English speaker"",""""]",first,null,"[""4""]",5,1991,,,,,later,collaborators,10
