sessionid,discipline,ease_2,regret_2,support_2,time_2,time_second_evaluation,treatment_eval_2,ease_1,regret_1,support_1,time_1,time_first_evaluation,treatment_eval_1,data_file_title_1,time_create_1,treatment_1,trial_1,when_to_1,with_who_1,academic,awareness,frequency,honest,howmany,materials_type,time_awareness_evaluation,tongue,trust,updating,ways,when_best,year_born,data_file_title_2,time_create_2,treatment_2,trial_2,when_to_2,with_who_2
b4bd8ddfbcf302338f7898eec8382690,,5,5,5,5,,cite DataLabour,5,1,5,5,,cite DataLabour,,,cite DataLabour,,null,public,1,,,,,,,,,,,,,,,,,null,public
90c08c4bb24fd7715f6dce58d09061f4,,,,,,,,4,2,4,5,,cite DataLabour,,,cite DataLabour,,null,public,1,,,,,,,,,,,,,,,,,,
2916e59453604e0bf19d4b3b60b75fdd,,4,1,4,4,,Jam Share Data,4,1,4,4,,cite DataLabour,,,cite DataLabour,,null,public,1,,,on,,,,,,,,,,,,,,,public
f9f6ae29cb7fdbe8995e496792d87aac,,,,,,,,4,4,3,5,,Jam Share Data,,,Jam Share Data,,02/2015,collaborators,,,,,,,,,,,,,,,,,,,
28d0f45805f4a2e9ec4d8fe4cf2e517e,,4,2,4,4,,Jam Share Data,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,2,,,on,,,,,,,,,,,,,,,public
0ad6197707803a31a98aa69dccc39bad,,5,3,3,5,,cite DataLabour,5,3,3,5,,cite DataLabour,,,cite DataLabour,,null,public,1,,,,,,,,,,,,,,,,,null,public
3068cc431534949de153e1b77a9ae420,,4,3,4,4,,cite DataLabour,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,,,,,,,,,,,,,,,,,,1y,collaborators
d8695dead80bb8f3ba0caa25e5ca785c,,,,,,,,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,2,,,,,,,,,,,,,,,,,,
4379192aef2087ff9a349056bcbb6bb4,,4,3,3,4,,cite DataLabour,1,3,1,1,,cite DataLabour,,,cite DataLabour,,1y,collaborators,1,,,,,,,,,,,,,,,,,1y,collaborators
8ed6774338c3fee17bbdca2dfbc7f1d6,,4,3,4,4,,Jam Share Data,4,3,4,4,,cite DataLabour,,,cite DataLabour,,1y,collaborators,2,,,on,,,,,,,,,,,,,,later,collaborators
f1deeddb2588e790d7425adfa7ffb307,,4,2,4,4,,Jam Share Data,4,2,4,4,,cite DataLabour,,,cite DataLabour,,null,public,1,,,on,,,,,,,,,,,,,,,public
a3fb71f8688c810c126ede0a989b79cc,,2,2,,2,,Jam Share Data,4,3,4,4,,Jam Share Data,,,Jam Share Data,,later,collaborators,1,,,,,,,,,,,,,,,,,later,private
d1cf1e2bd3e41f2bd3576a32593e2f73,,4,2,3,4,,Jam Share Data,4,2,3,4,,cite DataLabour,,,cite DataLabour,,null,public,1,,,on,,,,,,,,,,,,,,,public
